GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
349932,2267,35.67566107,139.76944333,42.46,-3960102.989,3350168.343,3699042.346,-1.46,0.001,206.629,-3.189,-6.417,-0.02
349933,2267,35.67560224,139.76940739,42.408,-3960103.761,3350173.258,3699037.013,-1.372,0.111,206.62,-3.294,-6.614,-0.04
349934,2267,35.67554251,139.76937083,42.383,-3960104.559,3350178.268,3699031.615,-1.005,0.335,206.553,-3.304,-6.665,-0.01
349935,2267,35.67548091,139.76933387,42.371,-3960105.433,3350183.391,3699026.056,-1.562,0.589,206.259,-3.405,-7.018,0.034
349936,2267,35.67541585,139.76929443,42.405,-3960106.362,3350188.854,3699020.212,-1.945,1.207,206.862,-3.736,-7.394,-0.014
349937,2267,35.67534712,139.76925151,42.52,-3960107.319,3350194.753,3699014.084,-1.19,1.254,207.092,-3.975,-7.798,0.148
349938,2267,35.67527515,139.76920681,42.61,-3960108.317,3350200.898,3699007.65,-1.635,0.805,207.126,-4.132,-8.119,0.074
349939,2267,35.67520174,139.76916068,42.642,-3960109.266,3350207.171,3699001.052,-1.684,0.843,207.344,-4.204,-8.127,0.021
349940,2267,35.6751274,139.76911375,42.691,-3960110.224,3350213.547,3698994.38,-1.541,0.39,207.519,-4.289,-8.228,0.015
349941,2267,35.67505377,139.76906669,42.668,-3960111.096,3350219.865,3698987.731,-1.407,-0.07,207.65,-4.236,-8.098,-0.056
349942,2267,35.67498092,139.76902013,42.572,-3960111.913,3350226.077,3698981.109,-2.211,-0.524,208.743,-4.275,-7.993,-0.13
349943,2267,35.67491052,139.76896939,42.411,-3960112.324,3350232.442,3698974.669,-2.49,-0.919,213.397,-4.939,-7.584,-0.175
349944,2267,35.67484361,139.76891025,42.262,-3960112.079,3350239.247,3698968.552,-1.721,-0.383,218.708,-5.81,-7.324,-0.124
349945,2267,35.67477844,139.76884135,42.142,-3960111.195,3350246.67,3698962.608,-1.317,-0.204,222.839,-6.6,-7.163,-0.174
349946,2267,35.67471259,139.76876521,42.053,-3960109.94,3350254.638,3698956.621,-1.707,0.077,223.643,-7.098,-7.471,-0.078
349947,2267,35.67464319,139.76868548,42.004,-3960108.676,3350263.023,3698950.337,-1.407,0.077,222.656,-7.284,-7.914,-0.059
349948,2267,35.67456986,139.76860417,41.954,-3960107.513,3350271.682,3698943.698,-1.146,0.198,221.56,-7.335,-8.295,-0.075
349949,2267,35.6744944,139.76852361,41.934,-3960106.518,3350280.393,3698936.885,-1.406,0.397,220.816,-7.216,-8.398,-0.022
349950,2267,35.67441866,139.76844441,41.956,-3960105.642,3350289.044,3698930.072,-1.588,0.46,220.431,-7.156,-8.412,0.031
349951,2267,35.67434269,139.76836572,41.973,-3960104.804,3350297.667,3698923.234,-1.656,0.452,220.229,-7.121,-8.435,0.003
349952,2267,35.67426651,139.76828732,41.996,-3960103.997,3350306.281,3698916.381,-1.61,0.534,220.066,-7.09,-8.471,0.037
349953,2267,35.67419036,139.76820936,42.004,-3960103.205,3350314.856,3698909.522,-1.651,0.373,219.922,-7.029,-8.406,-0.002
349954,2267,35.67411524,139.76813197,41.998,-3960102.387,3350323.341,3698902.748,-1.398,0.567,220.489,-7.055,-8.271,0.105
349955,2267,35.67404143,139.76805423,41.979,-3960101.475,3350331.789,3698896.084,-1.795,1.032,221.13,-7.186,-8.224,0.321
349956,2267,35.67396767,139.76797547,42.041,-3960100.552,3350340.348,3698889.472,-1.728,0.756,221.263,-7.212,-8.232,0.074
349957,2267,35.67389301,139.76789543,42.085,-3960099.587,3350349.023,3698882.768,-1.925,0.704,221.351,-7.266,-8.31,0.047
349958,2267,35.67381815,139.76781455,42.161,-3960098.603,3350357.782,3698876.065,-0.805,-0.031,221.295,-7.318,-8.379,0.03
349959,2267,35.67374236,139.76773416,42.108,-3960097.613,3350366.478,3698869.203,-1.683,0.438,220.911,-7.31,-8.425,0.003
349960,2267,35.67366574,139.76765364,42.125,-3960096.7,3350375.254,3698862.307,-1.632,0.479,220.673,-7.325,-8.516,0.031
349961,2267,35.67358962,139.76757364,42.134,-3960095.788,3350383.969,3698855.451,-1.775,0.406,220.871,-7.153,-8.282,-0.003
349962,2267,35.6735167,139.76749675,42.14,-3960094.897,3350392.334,3698848.882,-1.712,0.41,220.727,-6.726,-7.856,0.073
349963,2267,35.67344913,139.76742584,42.186,-3960094.117,3350400.083,3698842.819,-1.573,0.301,220.649,-6.046,-7.057,0.02
349964,2267,35.67338998,139.76736364,42.197,-3960093.409,3350406.86,3698837.494,-1.5,0.369,220.904,-5.229,-6.05,0.018
349965,2267,35.6733398,139.76731044,42.213,-3960092.786,3350412.643,3698832.98,-1.71,0.12,221.213,-4.411,-5.078,-0.025
349966,2267,35.67329812,139.76726585,42.224,-3960092.245,3350417.472,3698829.23,-1.697,0.278,221.29,-3.743,-4.306,-0.005
349967,2267,35.67326109,139.76722647,42.226,-3960091.772,3350421.743,3698825.893,-1.862,0.381,221.114,-3.397,-3.969,0.015
349968,2267,35.67322668,139.76719008,42.247,-3960091.357,3350425.707,3698822.804,-1.882,0.227,220.806,-3.182,-3.648,0.026
349969,2267,35.67319515,139.76715705,42.247,-3960090.983,3350429.308,3698819.962,-1.806,0.432,220.518,-2.903,-3.354,0.018
349970,2267,35.67316581,139.76712668,42.262,-3960090.666,3350432.641,3698817.326,-2.387,0.229,220.487,-2.616,-3.104,0.05
349971,2267,35.67314069,139.76710047,42.273,-3960090.381,3350435.508,3698815.069,-2.042,0.531,220.42,-2.193,-2.469,0.138
349972,2267,35.67312055,139.7670795,42.288,-3960090.159,3350437.807,3698813.262,-1.859,0.46,220.671,-1.748,-2.066,0.014
349973,2267,35.67310338,139.76706158,42.298,-3960089.965,3350439.768,3698811.72,-1.864,0.43,220.87,-1.502,-1.748,-0.004
349974,2267,35.67308887,139.76704633,42.303,-3960089.793,3350441.431,3698810.415,-1.882,0.527,220.996,-1.261,-1.467,0.007
349975,2267,35.67307729,139.76703413,42.311,-3960089.657,3350442.763,3698809.376,-1.864,0.553,221.032,-0.905,-1.049,0.005
349976,2267,35.67307035,139.76702688,42.317,-3960089.579,3350443.557,3698808.754,-1.894,0.594,221.041,-0.426,-0.498,0.006
349977,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.916,0.543,221.026,-0.008,-0.019,0.002
349978,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.903,0.668,221.023,-0,-0.005,-0
349979,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.904,0.67,221.023,0.003,-0.003,0.001
349980,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.897,0.667,221.023,0.002,-0.001,0.004
349981,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.903,0.669,221.023,0,-0.003,0
349982,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.903,0.668,221.023,0.003,0,0.001
349983,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.896,0.669,221.022,0.001,0.001,0.002
349984,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.899,0.668,221.022,-0.002,-0.002,-0.001
349985,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.895,0.669,221.022,0.004,0,0.002
349986,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.894,0.671,221.022,0,-0.003,0.003
349987,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.897,0.668,221.022,-0.002,-0.002,-0
349988,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.896,0.668,221.022,0.003,0.001,0.002
349989,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.897,0.669,221.022,0.001,0.001,0.002
349990,2267,35.67306807,139.76702452,42.322,-3960089.557,3350443.818,3698808.552,-1.896,0.669,221.022,-0.001,-0,0
